Unique Visitors,Average Page Depth,Flight Searches,Fare Change Error,Revenue
695045,19,540686,514,22403850
747063,19,557525,537,22632654
1108106,14,873056,1034,37367126
1104659,15,917531,1259,42414291
1124734,15,895169,1349,41818597
1068515,14,806391,1046,36153796
1073621,10,837619,817,32481915
745364,11,628004,310,22870763
878788,19,732351,555,26604215
1155411,17,1129578,1203,36986067
1220020,14,1261678,1544,42186626
1206027,15,1161663,1640,40737456
1223828,13,1050653,1682,37931780
971419,15,806564,1204,31229391
734039,15,662500,594,22851068
825721,17,757542,624,25261296
1086930,13,1051820,1061,37428283
1233641,12,1176552,1467,42585437
1143910,14,1114975,1775,40701813
1074255,12,1000431,1009,36908866
1035452,14,877860,1102,34360138
762243,17,662921,596,23488856
876212,12,797927,594,27873817
1107308,10,1104725,1322,39613981
1148465,10,1172001,1032,44604416
1345858,9,1144184,1220,43053044
1267386,9,1010435,861,37327327
1110203,9,901610,812,34975233
845892,10,720633,465,25065985
977986,9,841991,606,29908673
1221926,9,1153150,1126,43142605
1153945,9,1159971,1220,46635984
1139629,9,1119157,1523,45104945
1101938,10,1037128,1027,41117379
1128012,9,917908,1010,36430389
809583,10,666630,323,23256117
864395,10,751457,374,26649192
1120388,9,1072927,813,40246183
1095007,10,1109936,1196,44376269
1131013,10,1065910,1509,43092641
1113730,9,979938,960,38388647
983544,10,824547,748,33521629
733433,11,608126,466,22453109
883042,10,760157,607,27684766
1109136,10,1016057,1232,38585016
1116406,10,1097428,1508,43004819
1114185,10,1058863,1414,43669589
1039430,10,913478,1049,36252262
927783,10,807704,906,34137358
733681,11,620634,464,22161938
893111,10,769709,532,28534700
1116991,9,1051138,897,39220250
1108284,10,1104137,1201,44084500
1087620,10,1027690,1041,41381277
1030971,9,928069,854,36251286
937528,9,797364,778,33056910
748989,10,627714,431,23056440
861215,9,728235,488,26555645
1092109,9,1018923,889,39247324
1071482,9,1058749,1030,43636521
1072908,9,1025768,1519,42134743
1059870,9,943485,1122,38925563
926139,9,805631,1265,34116283
704987,10,583804,574,21861055
832927,10,685102,649,26328503
1105223,9,993348,1679,39697004
1090325,9,1031801,1407,43312342
1056782,9,957311,1433,40394355
1179558,9,869831,1053,36842674
936789,9,725793,1040,31953890
662377,9,505222,634,19883678
788776,9,618327,615,24211404
1088845,9,943281,972,38554706
1094713,9,1017221,1851,43614363
1063041,9,969767,1697,40088050
973941,9,845066,952,36487871
787958,9,669913,725,29685652
596741,9,487807,349,19190127
705682,9,542029,427,20799469
1070223,9,957843,991,37745253
1118244,9,1042703,1155,42899623
1078827,9,973799,1139,40286615
1050159,9,881645,856,35748101
910550,9,747609,1046,31487766
674584,9,533512,478,19172666
829685,9,662436,521,25110914
1093116,9,970540,1017,37675327
1170977,9,1048027,1254,43189128
1153751,9,991914,1152,40843723
1029590,9,873844,807,35062393
900835,9,765612,835,33873583
652197,9,527936,482,20117733
785329,9,647014,461,24477654
1033884,9,962046,840,39234450
