Strata_ID_Number,D_Wh_Cancer,D_Bl_Cancer,D_Hi_Cancer,No_Exercise,Few_Fruit_Veg,Obesity,Smoker,Uninsured,Prim_Care_Phys_Rate,Community_Health_Center_Ind
29,-1111,18,-1111,27.8,78.6,24.5,26.6,5690,45.3,1
16,11,-1111,-1111,27.2,76.2,23.6,24.6,19798,67,1
51,21,-1111,-1111,-1111.1,-1111.1,25.6,17.7,5126,45.8,1
42,16,21,-1111,-1111.1,86.6,-1111.1,-1111.1,3315,41.8,1
28,16,-1111,-1111,33.5,74.6,24.2,23.6,8131,16.2,2
75,10,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2295,54.3,1
76,12,10,-1111,24.5,-1111.1,22,27.3,4055,43.3,1
6,-1111,11,-1111,29.2,81.9,27,25.5,16456,75.8,1
50,12,17,-1111,34.7,84.6,-1111.1,11.7,5533,53.6,1
64,12,-1111,-1111,-1111.1,-1111.1,-1111.1,23.6,3583,28.5,2
32,11,15,-1111,30.3,82.8,31.2,30,6130,31.1,1
66,30,12,-1111,-1111.1,-1111.1,-1111.1,17.1,2677,33.8,1
51,21,-1111,-1111,31.5,-1111.1,-1111.1,-1111.1,4593,55,2
63,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,23.9,2320,35.8,2
41,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2107,0,2
32,11,15,-1111,23.3,-1111.1,25.5,23,6764,48.3,1
21,14,26,-1111,30.2,76.9,30.1,21.7,8141,60.4,1
75,10,-1111,-1111,-1111.1,-1111.1,-1111.1,12.3,2657,60.3,1
41,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2028,9,1
35,11,-1111,-1111,28.8,-1111.1,30.2,27.8,6094,59.5,1
71,12,12,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2504,14.6,1
21,14,26,-1111,29.4,76.2,22.2,27.6,11912,53.8,1
33,12,14,-1111,30.4,79.5,25,29.3,7831,24.6,2
52,15,13,-1111,31.5,85.9,36.6,20.4,9242,101.4,1
24,17,-1111,-1111,37,80.7,24.3,19.1,12260,34.2,1
19,17,-1111,-1111,27.7,85,24.8,22.6,8320,33.8,1
51,21,-1111,-1111,34.3,87.1,33.7,26.1,6490,57.8,1
6,-1111,11,-1111,34.1,81.4,27.1,31.5,16180,72.7,1
63,-1111,-1111,-1111,-1111.1,-1111.1,32.7,21.2,2358,60.3,2
49,20,-1111,-1111,28.9,85.5,-1111.1,-1111.1,5977,35.8,1
64,12,-1111,-1111,-1111.1,-1111.1,34.5,-1111.1,4759,35,2
75,10,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2384,31.1,1
76,12,10,-1111,-1111.1,-1111.1,-1111.1,-1111.1,3422,27.3,1
63,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2556,18.1,2
23,21,13,-1111,32.9,77.7,29.5,25,14235,106.1,1
22,10,-1111,-1111,34,82.3,29.4,37,7294,70.8,1
3,12,12,-1111,29,79.1,27.1,23.4,87428,154.9,1
63,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2237,13.4,2
21,14,26,-1111,25.8,77.1,23.8,21.1,11424,58.2,1
32,11,15,-1111,31.9,85.2,19.9,28.5,5396,28.9,1
22,10,-1111,-1111,25.9,74.9,21.7,27.1,17335,63.3,1
19,17,-1111,-1111,30.4,79.5,26,25,8934,39.7,1
66,30,12,-1111,-1111.1,-1111.1,-1111.1,-1111.1,2951,15.3,1
44,-1111,14,-1111,-1111.1,-1111.1,-1111.1,15.7,4325,26.3,1
4,18,12,-1111,22.9,75.6,23.1,21.3,35743,95.2,1
67,12,13,-1111,-1111.1,-1111.1,-1111.1,15.6,4074,54.8,1
49,20,-1111,-1111,-1111.1,84.8,30.9,-1111.1,5205,53.1,2
22,10,-1111,-1111,34.8,82.1,27.5,31.6,14593,63.1,2
5,15,12,-1111,30.8,76.2,26.6,25.1,65687,95.4,1
67,12,13,-1111,-1111.1,-1111.1,-1111.1,-1111.1,4269,50.6,1
