date,site,searchengine,directentry,otherwebsites,socialnetworks,cancertypes,donated,ra
1/1/16,24398,16,20,1,2,110,28,57
1/2/16,25723,20,15,4,0,90,33,52
1/3/16,30018,22,18,4,1,118,21,62
1/4/16,52082,77,102,12,1,353,30,247
1/5/16,55670,78,87,7,1,350,30,242
1/6/16,55477,74,110,11,1,369,34,254
1/7/16,55665,80,109,13,2,362,21,278
1/8/16,48534,87,95,16,0,356,37,259
1/9/16,30775,38,27,3,0,154,21,87
1/10/16,32989,37,38,8,1,172,48,101
1/11/16,55129,88,128,17,0,415,99,297
1/12/16,47890,216,297,28,14,1306,47,567
1/13/16,46917,209,257,38,12,1091,35,531
1/14/16,50967,213,247,26,6,1091,34,527
1/15/16,44904,222,231,29,2,960,51,487
1/16/16,26503,97,80,16,0,491,28,201
1/17/16,33283,97,69,12,4,475,32,181
1/18/16,35996,200,144,17,4,719,59,351
1/19/16,42542,285,272,36,2,903,34,594
1/20/16,41575,214,262,30,5,943,50,536
1/21/16,41020,224,248,23,3,922,52,527
1/22/16,35695,195,253,21,4,884,51,485
1/23/16,21751,89,88,8,0,496,45,196
1/24/16,22735,108,96,15,2,514,41,216
1/25/16,41172,256,294,22,9,1003,71,616
1/26/16,41669,255,265,27,7,1029,66,567
1/27/16,43842,249,287,42,10,1045,47,587
1/28/16,40391,234,271,30,6,1025,33,566
1/29/16,37328,205,279,35,5,942,37,524
1/30/16,22205,106,117,28,0,495,39,242
1/31/16,22863,124,121,15,1,566,34,255
2/1/16,36188,274,290,32,8,908,44,601
2/2/16,37211,238,280,29,5,993,50,576
2/3/16,37451,241,262,30,4,945,49,555
2/4/16,35340,228,237,34,2,931,30,519
2/5/16,31829,185,220,29,2,804,23,445
2/6/16,18411,92,95,9,5,475,32,202
2/7/16,16881,82,85,16,2,429,34,187
2/8/16,34826,240,244,22,6,887,44,534
2/9/16,37496,206,256,33,2,933,86,512
2/10/16,37206,208,267,21,4,895,59,530
2/11/16,35205,224,256,28,7,840,40,535
2/12/16,31515,213,227,23,3,800,38,466
2/13/16,18189,112,98,19,2,440,24,239
2/14/16,19385,106,99,15,2,468,45,215
2/15/16,37241,252,252,28,11,901,28,544
2/16/16,39792,216,263,38,5,874,33,558
2/17/16,38295,227,238,19,5,897,44,520
2/18/16,38357,215,266,32,7,888,44,544
2/19/16,33572,201,222,22,5,733,34,467
2/20/16,20210,113,94,14,2,419,28,220
2/21/16,21136,105,83,12,5,499,30,204
2/22/16,40173,241,271,23,6,966,29,562
2/23/16,39610,218,273,23,8,930,34,530
2/24/16,38363,221,278,22,4,915,24,547
2/25/16,36964,228,257,25,7,862,21,535
2/26/16,31635,221,242,21,2,755,34,491
2/27/16,18041,93,95,17,0,426,15,205
2/28/16,19473,96,88,13,0,434,18,205
2/29/16,37021,255,302,25,3,861,27,581
3/1/16,37537,241,281,26,6,903,48,568
3/2/16,39490,219,294,33,7,1011,34,551
3/3/16,37491,248,283,36,3,836,32,572
3/4/16,35018,220,287,29,9,458,42,542
3/5/16,21504,95,101,19,5,167,23,215
3/6/16,22001,108,97,15,3,214,28,222
3/7/16,40581,250,294,40,7,478,39,603
3/8/16,40356,261,312,36,7,436,55,600
3/9/16,39684,241,297,26,2,624,40,574
3/10/16,38640,241,302,24,2,784,35,575
3/11/16,33976,232,277,23,5,747,55,545
3/12/16,19871,85,117,10,3,420,32,209
3/13/16,19217,107,108,9,2,389,28,226
3/14/16,36881,256,265,26,7,824,69,562
3/15/16,36857,221,289,24,3,789,63,553
3/16/16,35487,220,283,26,9,843,38,539
3/17/16,34793,216,258,21,7,743,28,498
3/18/16,30597,195,237,24,1,691,49,459
3/19/16,18102,104,91,14,1,396,25,212
3/20/16,19440,89,100,10,2,405,19,193
3/21/16,36515,268,271,31,6,855,51,575
3/22/16,36654,249,273,27,4,818,51,565
3/23/16,36078,222,272,26,1,779,39,551
3/24/16,34359,207,271,25,3,820,39,519
3/25/16,27973,149,199,13,1,590,27,382
3/26/16,18412,80,80,10,5,372,22,169
3/27/16,18568,83,69,9,2,377,28,155
3/28/16,39056,234,272,27,2,882,67,564
3/29/16,40747,241,271,24,7,847,30,561
3/30/16,40520,261,273,21,5,850,53,571
3/31/16,38906,221,265,12,8,824,51,530
4/1/16,34249,215,250,18,1,701,43,488
4/2/16,21217,99,83,13,2,435,33,190
