Date,Site,Search Engine ,Direct Entry ,Other Websites,Social Networks,Cancer Type,RA CTA,Donated
1-Jan-16,"24,398",16,20,1,2,110,57,28
2-Jan-16,"25,723",20,15,4,0,90,52,33
3-Jan-16,"30,018",22,18,4,1,118,62,21
4-Jan-16,"52,082",77,102,12,1,353,247,30
5-Jan-16,"55,670",78,87,7,1,350,242,30
6-Jan-16,"55,477",74,110,11,1,369,254,34
7-Jan-16,"55,665",80,109,13,2,362,278,21
8-Jan-16,"48,534",87,95,16,0,356,259,37
9-Jan-16,"30,775",38,27,3,0,154,87,21
10-Jan-16,"32,989",37,38,8,1,172,101,48
11-Jan-16,"55,129",88,128,17,0,415,297,99
12-Jan-16,"47,890",216,297,28,14,"1,306",567,47
13-Jan-16,"46,917",209,257,38,12,"1,091",531,35
14-Jan-16,"50,967",213,247,26,6,"1,091",527,34
15-Jan-16,"44,904",222,231,29,2,960,487,51
16-Jan-16,"26,503",97,80,16,0,491,201,28
17-Jan-16,"33,283",97,69,12,4,475,181,32
18-Jan-16,"35,996",200,144,17,4,719,351,59
19-Jan-16,"42,542",285,272,36,2,903,594,34
20-Jan-16,"41,575",214,262,30,5,943,536,50
21-Jan-16,"41,020",224,248,23,3,922,527,52
22-Jan-16,"35,695",195,253,21,4,884,485,51
23-Jan-16,"21,751",89,88,8,0,496,196,45
24-Jan-16,"22,735",108,96,15,2,514,216,41
25-Jan-16,"41,172",256,294,22,9,"1,003",616,71
26-Jan-16,"41,669",255,265,27,7,"1,029",567,66
27-Jan-16,"43,842",249,287,42,10,"1,045",587,47
28-Jan-16,"40,391",234,271,30,6,"1,025",566,33
29-Jan-16,"37,328",205,279,35,5,942,524,37
30-Jan-16,"22,205",106,117,28,0,495,242,39
31-Jan-16,"22,863",124,121,15,1,566,255,34
1-Feb-16,"36,188",274,290,32,8,908,601,44
2-Feb-16,"37,211",238,280,29,5,993,576,50
3-Feb-16,"37,451",241,262,30,4,945,555,49
4-Feb-16,"35,340",228,237,34,2,931,519,30
5-Feb-16,"31,829",185,220,29,2,804,445,23
6-Feb-16,"18,411",92,95,9,5,475,202,32
7-Feb-16,"16,881",82,85,16,2,429,187,34
8-Feb-16,"34,826",240,244,22,6,887,534,44
9-Feb-16,"37,496",206,256,33,2,933,512,86
10-Feb-16,"37,206",208,267,21,4,895,530,59
11-Feb-16,"35,205",224,256,28,7,840,535,40
12-Feb-16,"31,515",213,227,23,3,800,466,38
13-Feb-16,"18,189",112,98,19,2,440,239,24
14-Feb-16,"19,385",106,99,15,2,468,215,45
15-Feb-16,"37,241",252,252,28,11,901,544,28
16-Feb-16,"39,792",216,263,38,5,874,558,33
17-Feb-16,"38,295",227,238,19,5,897,520,44
18-Feb-16,"38,357",215,266,32,7,888,544,44
19-Feb-16,"33,572",201,222,22,5,733,467,34
20-Feb-16,"20,210",113,94,14,2,419,220,28
21-Feb-16,"21,136",105,83,12,5,499,204,30
22-Feb-16,"40,173",241,271,23,6,966,562,29
23-Feb-16,"39,610",218,273,23,8,930,530,34
24-Feb-16,"38,363",221,278,22,4,915,547,24
25-Feb-16,"36,964",228,257,25,7,862,535,21
26-Feb-16,"31,635",221,242,21,2,755,491,34
27-Feb-16,"18,041",93,95,17,0,426,205,15
28-Feb-16,"19,473",96,88,13,0,434,205,18
29-Feb-16,"37,021",255,302,25,3,861,581,27
1-Mar-16,"37,537",241,281,26,6,903,568,48
2-Mar-16,"39,490",219,294,33,7,"1,011",551,34
3-Mar-16,"37,491",248,283,36,3,836,572,32
4-Mar-16,"35,018",220,287,29,9,458,542,42
5-Mar-16,"21,504",95,101,19,5,167,215,23
6-Mar-16,"22,001",108,97,15,3,214,222,28
7-Mar-16,"40,581",250,294,40,7,478,603,39
8-Mar-16,"40,356",261,312,36,7,436,600,55
9-Mar-16,"39,684",241,297,26,2,624,574,40
10-Mar-16,"38,640",241,302,24,2,784,575,35
11-Mar-16,"33,976",232,277,23,5,747,545,55
12-Mar-16,"19,871",85,117,10,3,420,209,32
13-Mar-16,"19,217",107,108,9,2,389,226,28
14-Mar-16,"36,881",256,265,26,7,824,562,69
15-Mar-16,"36,857",221,289,24,3,789,553,63
16-Mar-16,"35,487",220,283,26,9,843,539,38
17-Mar-16,"34,793",216,258,21,7,743,498,28
18-Mar-16,"30,597",195,237,24,1,691,459,49
19-Mar-16,"18,102",104,91,14,1,396,212,25
20-Mar-16,"19,440",89,100,10,2,405,193,19
21-Mar-16,"36,515",268,271,31,6,855,575,51
22-Mar-16,"36,654",249,273,27,4,818,565,51
23-Mar-16,"36,078",222,272,26,1,779,551,39
24-Mar-16,"34,359",207,271,25,3,820,519,39
25-Mar-16,"27,973",149,199,13,1,590,382,27
26-Mar-16,"18,412",80,80,10,5,372,169,22
27-Mar-16,"18,568",83,69,9,2,377,155,28
28-Mar-16,"39,056",234,272,27,2,882,564,67
29-Mar-16,"40,747",241,271,24,7,847,561,30
30-Mar-16,"40,520",261,273,21,5,850,571,53
31-Mar-16,"38,906",221,265,12,8,824,530,51
1-Apr-16,"34,249",215,250,18,1,701,488,43
2-Apr-16,"21,217",99,83,13,2,435,190,33
